,날짜,집회 일시,집회 장소(행진로),관련 지역,신고 인원,관할서
0,231016,17:00∼21:00,신한은행 본점 앞,서소문동,1000,남대문
1,231016,17:00∼21:00,舊삼성본관 앞,서소문동,3000,남대문
2,231016,11:00∼13:00,전쟁기념관 앞 인도,용산동,300,용산
3,231016,11:00∼12:00,국회 앞 인도,여의도동,100,영등포
4,231016,10:00∼14:00,시청 동편 인도,태평로,100,남대문
5,231016,19:30∼21:30,숭례문 ∼ 시청역 7出 3개 차로 ,북창동,10000,남대문
6,231016,10:00∼11:00,평강성서유물박물관 앞 이면도로 ,오류동,500,구로
